,review_id,review_title,review_comment,review_star_rating,review_link,review_author,review_author_avatar,review_images,review_video,review_date,is_verified_purchase,helpful_vote_statement,reviewed_product_asin,review_video.stream_url,review_video.closed_captions_url,review_video.thumbnail_url
0,R3C9MTXA0YTPO1,Buckle Up,"Blessed to attend this Church in NJ. The Devil does not want you to read this book. The Hatred of the Nation of Israel and its People, is not Natural it is Super Natural from the beginning of time. This Book covers what is going on in today’s world and history and how it plays a roll in the End of the World. We are not there yet but we are in the End Times and the Prophecy’s of the Bible Tell the Story. Make no Mistake we are in Nefarious Times. This book sheds light on it and gives hope, it is easy to read and will keep you riveted. Highly Recommend this book to everyone whether you believe or not, it explains many things for your understanding.",5,https://www.amazon.com/gp/customer-reviews/R3C9MTXA0YTPO1,Marinus,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",['https://m.media-amazon.com/images/I/71JDoXZwOLL._SY88.jpg'],,"Reviewed in the United States on September 3, 2024",True,14 people found this helpful,1636413994,,,
1,RK2PSAUN0XQ2R,HOLY APOCALYPSE,"HOLY APOCALYPSE!  Amazing!  Incredible!  It’s all lining up!  This book makes it clear that evil is rampant.  It is the inversion of all that is good and we are seeing it taking over our society.  It is strongly Biblical with events and dates that align so miraculously they almost seem to be made up.  The four horsemen of the apocalypse are described with four colors in Revelation – white, red, black and green.  What flag are you familiar with that has white, red, black and green?  As the end times unfold, we are given the hope of eternal life in Jesus Christ.  Hallelujah!",5,https://www.amazon.com/gp/customer-reviews/RK2PSAUN0XQ2R,Beryl Davidson,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",[],,"Reviewed in the United States on September 4, 2024",True,5 people found this helpful,1636413994,,,
2,R3F4PW35VSYE77,The Prophetic 'Dark Side' EXPOSED!,"IF You are Seeking insight into what is transpiring in our world today - including global current events, Jonathan Cahn's, ""The Dragon's Prophecy"", is the book for you!  A MUST READ for those wishing to get answers to those 'unanswered questions', i.e., ""WHO is behind the attack on Israel on October 7, 2023?, ""What was the Primary Motivation?"", and ""WHY Now?"", ""What could be Next?"",  and more importantly, ""What Can I Do to Prepare for What's About to Happen?"".  I read this book w/Bible in one hand and this book in the other - not only for Biblical/Scriptural reference, but to help ward off 'The Dark Side'!",5,https://www.amazon.com/gp/customer-reviews/R3F4PW35VSYE77,D. Lindley,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",['https://m.media-amazon.com/images/I/61AgOBFeB7L._SY88.jpg'],,"Reviewed in the United States on September 4, 2024",True,2 people found this helpful,1636413994,,,
3,R2B9F62MW70FXA,The Dragon’s Prophecy will awaken your heart for The Lord and give fuel to your Faith!!!,"Jonathan Cahn”s The Dragon’s Prophecy is a heart stirring, scripture filled book that is monumental for such a time as this.  From studying ancient times to who the Dragon is to Israel and God and to the here and now in the End Times.  I can’t stress enough how much History is in this book that fulfills scripture and will strengthen your Faith in The Lord and for the Word of God knowing He will fulfill all of the End Time prophecies!!!  A MUST READ FOR YOU AND YOUR FAMILY🙏💙",5,https://www.amazon.com/gp/customer-reviews/R2B9F62MW70FXA,Robin Graham,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",[],,"Reviewed in the United States on September 4, 2024",True,3 people found this helpful,1636413994,,,
4,R3SHBMOUXATUWT,Most Profound Details,I haven't been able to put this book down since I received it. From the beginning it captivated my attention. It is so detailed and I weeped for the people of Israel of everything they've endured thru history and are still currently going through. Johnathan Cahn is so amazing explaining a lot of pararells from ancient to modern time. This book broaden my perspective to the book of Revelation and it's all thanks to Mr. Cahn.,5,https://www.amazon.com/gp/customer-reviews/R3SHBMOUXATUWT,Idali Vargas,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/11ed6499-8237-4d80-9460-614e464aeda4._CR0,39.0,255,255_SX48_.jpg",['https://m.media-amazon.com/images/I/71oIKW5cFkL._SY88.jpg'],,"Reviewed in the United States on September 4, 2024",True,4 people found this helpful,1636413994,,,
5,RRL0UCD2N1HK1,Eyes Opened,"The Dragons Prophesy
By Jonathan Cahn

If you haven’t ever read any of Jonathan‘s books, you are missing out. Just as his other best sellers his latest book The Dragon Prophesy is riveting. It will open your eyes and change the way you see the world and God’s Word. If you’ve had a hard time believing, now your seeing.",5,https://www.amazon.com/gp/customer-reviews/RRL0UCD2N1HK1,Tammie L Dukes,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",['https://m.media-amazon.com/images/I/71DU6DO4NWL._SY88.jpg'],,"Reviewed in the United States on September 3, 2024",True,10 people found this helpful,1636413994,,,
6,R3228QK4J1MTBI,Yawn......,This book is okay for a small history lesson but has little to do with current happenings in Israel.,1,https://www.amazon.com/gp/customer-reviews/R3228QK4J1MTBI,Moshe Crouch,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/ceb22f44-d447-463f-977f-ae5d2cee0095._CR0,0,300,300_SX48_.jpg",[],,"Reviewed in the United States on September 4, 2024",True,,1636413994,,,
7,RJ2TEV74QPQVU,Not interesting,Author not as good as David Jeremiah. Jonathan cahn doesn’t seem to get to the point. He goes around the bush,3,https://www.amazon.com/gp/customer-reviews/RJ2TEV74QPQVU,diane p.,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",[],,"Reviewed in the United States on September 4, 2024",True,,1636413994,,,
8,R2CEDDVVJAT06Q,Another great book by Jonathan Cahn,"Enlightening as always. Well researched, again as always.
Jonathan does a great job of explaining things clearly. A modern day C S Lewis type of book in it’s clarity and conciseness.
Highly recommended.",5,https://www.amazon.com/gp/customer-reviews/R2CEDDVVJAT06Q,Godsown1,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",['https://m.media-amazon.com/images/I/71iL9Ebnb2L._SY88.jpg'],,"Reviewed in the United States on September 4, 2024",True,4 people found this helpful,1636413994,,,
9,R167AI9ZHBM1KH,Great book!,"Got mine yesterday! I’m already on chapter 9. So far, it is good end time prophecy  book.",5,https://www.amazon.com/gp/customer-reviews/R167AI9ZHBM1KH,Amazon Customer,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",['https://m.media-amazon.com/images/I/71T+DLw8IUL._SY88.jpg'],,"Reviewed in the United States on September 4, 2024",True,2 people found this helpful,1636413994,,,
